epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,272.352,2.35616,11.6117,0.00624,0.93268,0.89355,0.92291,0.53997,1.5633,2.67132,0.00456,0.000666154,0.000666154,0.000666154
2,514.72,1.76679,1.86542,0.00452,0.9342,0.89385,0.92688,0.57082,1.54459,1.16037,0.00446,0.00131963,0.00131963,0.00131963
3,759.713,1.72193,1.08777,0.00403,0.94699,0.86799,0.91747,0.54995,1.5027,0.80463,0.00421,0.0019599,0.0019599,0.0019599
4,1004.81,1.69835,0.92649,0.00396,0.93833,0.87075,0.91309,0.56542,1.53041,0.8045,0.00489,0.0019406,0.0019406,0.0019406
5,1245.95,1.71781,0.92179,0.00398,0.95101,0.88142,0.92875,0.59248,1.48802,0.72562,0.00427,0.0019208,0.0019208,0.0019208
6,1485.23,1.68525,0.86904,0.00386,0.94847,0.8802,0.92245,0.56181,1.57584,0.70915,0.0049,0.001901,0.001901,0.001901
7,1725.31,1.6792,0.82303,0.0037,0.94041,0.8844,0.92439,0.56717,1.51596,0.69855,0.00478,0.0018812,0.0018812,0.0018812
8,1965.65,1.64298,0.76585,0.00378,0.95653,0.8863,0.92925,0.58002,1.58851,0.68319,0.0048,0.0018614,0.0018614,0.0018614
9,2206.28,1.60617,0.76503,0.00368,0.95709,0.88494,0.93434,0.59169,1.42151,0.62836,0.00416,0.0018416,0.0018416,0.0018416
10,2446.61,1.59831,0.70122,0.00341,0.94058,0.8939,0.93037,0.56769,1.56566,0.61288,0.0045,0.0018218,0.0018218,0.0018218
11,2687.39,1.58628,0.70886,0.0035,0.95883,0.87905,0.93132,0.58344,1.46943,0.59126,0.00465,0.001802,0.001802,0.001802
12,2927.72,1.6089,0.71746,0.00353,0.95704,0.88396,0.93111,0.60694,1.44183,0.62263,0.00439,0.0017822,0.0017822,0.0017822
