epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,272.403,1.74391,2.57332,0.00385,0.89107,0.73598,0.82992,0.45174,1.63364,1.14062,0.00564,0.000665641,0.000665641,0.000665641
2,510.869,1.84644,1.23113,0.00454,0.9036,0.75101,0.83077,0.46248,1.81474,1.11741,0.0057,0.00131912,0.00131912,0.00131912
3,767.624,1.86176,1.17749,0.00418,0.91646,0.72832,0.81937,0.4428,1.75282,1.09403,0.0055,0.00195939,0.00195939,0.00195939
4,1032.39,1.80445,1.12134,0.00412,0.92342,0.77604,0.85495,0.49827,1.59828,0.94941,0.0051,0.0019406,0.0019406,0.0019406
5,1245.09,1.76394,1.05628,0.00417,0.91044,0.79397,0.87524,0.51996,1.5067,0.83525,0.00459,0.0019208,0.0019208,0.0019208
6,1453.87,1.74091,1.02175,0.00386,0.92965,0.82564,0.88787,0.53476,1.56675,0.83503,0.00469,0.001901,0.001901,0.001901
7,1675.11,1.70873,0.97043,0.00374,0.94621,0.81886,0.88944,0.55064,1.54351,0.76063,0.00441,0.0018812,0.0018812,0.0018812
8,1917.24,1.69994,0.9576,0.00377,0.91787,0.83148,0.88891,0.54884,1.47665,0.7574,0.00452,0.0018614,0.0018614,0.0018614
9,2162.15,1.65374,0.9352,0.0037,0.94321,0.82755,0.88666,0.52841,1.51501,0.75018,0.00445,0.0018416,0.0018416,0.0018416
10,2412.43,1.63597,0.88608,0.00362,0.93815,0.84485,0.90145,0.54282,1.53467,0.72364,0.00448,0.0018218,0.0018218,0.0018218
11,2662.54,1.62459,0.8778,0.00352,0.9475,0.83289,0.89987,0.56322,1.43325,0.6951,0.00445,0.001802,0.001802,0.001802
12,3354.9,1.6118,0.85041,0.00362,0.96158,0.84815,0.91761,0.59356,1.37332,0.651,0.00407,0.0017822,0.0017822,0.0017822
13,3599.66,1.57424,0.84108,0.00347,0.95286,0.85769,0.90797,0.58108,1.42726,0.6838,0.00434,0.0017624,0.0017624,0.0017624
14,3841.93,1.57297,0.81159,0.00338,0.9503,0.85692,0.91119,0.57675,1.46439,0.66206,0.00431,0.0017426,0.0017426,0.0017426
15,4084.27,1.56459,0.79779,0.00337,0.94324,0.84967,0.91246,0.59034,1.42461,0.62706,0.00413,0.0017228,0.0017228,0.0017228
16,4323.1,1.54161,0.77518,0.00319,0.94315,0.87353,0.91383,0.58371,1.42612,0.61337,0.00398,0.001703,0.001703,0.001703
17,4559.3,1.54168,0.74635,0.00335,0.9492,0.86268,0.91429,0.59003,1.42497,0.63043,0.0039,0.0016832,0.0016832,0.0016832
18,5151.62,1.54084,0.76512,0.00325,0.9604,0.86646,0.92513,0.57394,1.43696,0.59522,0.00384,0.0016634,0.0016634,0.0016634
19,5365.95,1.52381,0.73839,0.00309,0.94343,0.87562,0.91995,0.59325,1.44241,0.63622,0.00424,0.0016436,0.0016436,0.0016436
20,5574.97,1.53358,0.72474,0.00327,0.94588,0.88023,0.92424,0.5854,1.38563,0.65816,0.00367,0.0016238,0.0016238,0.0016238
21,5785.98,1.5044,0.72242,0.00315,0.96116,0.8802,0.93235,0.60451,1.38151,0.58227,0.00381,0.001604,0.001604,0.001604
22,5998.37,1.48556,0.68179,0.00304,0.95568,0.88027,0.92825,0.60801,1.38209,0.57606,0.0038,0.0015842,0.0015842,0.0015842
23,6206,1.50309,0.7123,0.00299,0.95265,0.88668,0.92502,0.61286,1.34544,0.58881,0.0035,0.0015644,0.0015644,0.0015644
24,6413.73,1.48669,0.70124,0.00307,0.96677,0.88554,0.93163,0.60747,1.38235,0.57676,0.004,0.0015446,0.0015446,0.0015446
25,6623.29,1.47486,0.6821,0.00295,0.96817,0.89366,0.93786,0.6061,1.39358,0.56549,0.00377,0.0015248,0.0015248,0.0015248
26,6834.04,1.46845,0.67536,0.0031,0.96268,0.89508,0.93285,0.592,1.42413,0.57166,0.00368,0.001505,0.001505,0.001505
27,7042.66,1.44202,0.66274,0.0028,0.95798,0.89813,0.937,0.61171,1.35855,0.54989,0.0037,0.0014852,0.0014852,0.0014852
