image,error_type,prediction_index,GT_index,best_IoU,confidence
00032.jpg,background_FP,0.0,,0.0,
00032.jpg,true_miss,,0.0,0.0,
00043.jpg,true_miss,,0.0,0.0,
00048.jpg,true_miss,,0.0,0.0,
00050.jpg,localization_error,1.0,0.0,0.428537318938502,
00051.jpg,duplicate_detection,1.0,0.0,0.5043978621426055,
00051.jpg,background_FP,2.0,,0.0,
00055.jpg,true_miss,,0.0,0.0,
00069.jpg,background_FP,1.0,,0.0,
00071.jpg,true_miss,,0.0,0.0,
00088.jpg,true_miss,,0.0,0.0,
00091.jpg,background_FP,1.0,,0.0,
00112.jpg,localization_error,1.0,0.0,0.44732560812791483,
00112.jpg,duplicate_detection,2.0,0.0,0.6507747649775933,
00125.jpg,duplicate_detection,3.0,2.0,0.7172964177011407,
00126.jpg,localization_error,2.0,1.0,0.3240776171578109,
00126.jpg,localization_error,4.0,1.0,0.3691283298232748,
00126.jpg,duplicate_detection,5.0,0.0,0.7150613007029147,
00127.jpg,localization_error,2.0,1.0,0.4969532137722085,
00151.jpg,true_miss,,0.0,0.0,
00152.jpg,true_miss,,0.0,0.0,
00156.jpg,background_FP,1.0,,0.0,
00210.jpg,background_FP,1.0,,0.0,
00227.jpg,localization_error,0.0,0.0,0.48135482340857955,
00247.jpg,true_miss,,0.0,0.0,
00262.jpg,background_FP,1.0,,0.0,
00264.jpg,true_miss,,0.0,0.0,
00283.jpg,background_FP,1.0,0.0,0.05904701086482198,
00288.jpg,background_FP,1.0,,0.0,
00316.jpg,true_miss,,0.0,0.0,
00317.jpg,background_FP,0.0,,0.0,
00317.jpg,background_FP,1.0,,0.0,
00317.jpg,true_miss,,0.0,0.0,
00351.jpg,true_miss,,0.0,0.0,
00364.jpg,localization_error,1.0,0.0,0.355872776363084,
00369.jpg,true_miss,,0.0,0.0,
00380.jpg,duplicate_detection,1.0,0.0,0.5187565934564932,
00430.jpg,background_FP,1.0,,0.0,
00441.jpg,background_FP,1.0,,0.0,
00479.jpg,background_FP,1.0,,0.0,
00494.jpg,true_miss,,0.0,0.0,
00597.jpg,localization_error,0.0,0.0,0.34086550202074956,
00597.jpg,background_FP,1.0,,0.0,
00605.jpg,background_FP,3.0,,0.0,
00607.jpg,background_FP,1.0,,0.0,
00656.jpg,true_miss,,0.0,0.0,
00665.jpg,true_miss,,0.0,0.0,
00714.jpg,background_FP,0.0,,0.0,
00714.jpg,true_miss,,0.0,0.0,
00721.jpg,true_miss,,0.0,0.0,
00722.jpg,true_miss,,0.0,0.0,
00741.jpg,true_miss,,0.0,0.0,
00754.jpg,true_miss,,0.0,0.0,
00800.jpg,background_FP,0.0,,0.0,
00800.jpg,true_miss,,0.0,0.0,
00826.jpg,background_FP,1.0,,0.0,
00829.jpg,true_miss,,0.0,0.0,
00868.jpg,true_miss,,0.0,0.0,
00879.jpg,localization_error,0.0,0.0,0.25824882222305473,
00879.jpg,localization_error,1.0,0.0,0.38880902265668776,
00889.jpg,localization_error,0.0,0.0,0.47885367494550946,
00920.jpg,true_miss,,0.0,0.0,
00921.jpg,localization_error,0.0,0.0,0.4967795196531791,
00931.jpg,true_miss,,0.0,0.0,
00959.jpg,true_miss,,0.0,0.0,
00969.jpg,background_FP,1.0,,0.0,
00985.jpg,background_FP,1.0,,0.0,
01022.jpg,background_FP,1.0,,0.0,
01034.jpg,localization_error,0.0,0.0,0.48408995425331197,
01067.jpg,duplicate_detection,1.0,0.0,0.6333231474433246,
01079.jpg,background_FP,1.0,,0.0,
01085.jpg,duplicate_detection,3.0,1.0,0.6813153661471003,
01092.jpg,localization_error,2.0,1.0,0.40000129801097745,
01097.jpg,localization_error,0.0,0.0,0.4453909616890584,
01106.jpg,duplicate_detection,1.0,0.0,0.7211517173216762,
01115.jpg,background_FP,0.0,,0.0,
01115.jpg,true_miss,,0.0,0.0,
01167.jpg,background_FP,1.0,,0.0,
01181.jpg,true_miss,,0.0,0.0,
01187.jpg,localization_error,0.0,0.0,0.4763512795982341,
01197.jpg,background_FP,0.0,,0.0,
01197.jpg,true_miss,,0.0,0.0,
01206.jpg,localization_error,0.0,0.0,0.28971941522101274,
01206.jpg,localization_error,1.0,0.0,0.48435406369143175,
01219.jpg,localization_error,0.0,0.0,0.47175466826669127,
01220.jpg,localization_error,1.0,0.0,0.43316593951957577,
01226.jpg,localization_error,0.0,0.0,0.3243815803522544,
01239.jpg,background_FP,1.0,,0.0,
01249.jpg,true_miss,,0.0,0.0,
01274.jpg,background_FP,0.0,,0.0,
01275.jpg,true_miss,,0.0,0.0,
01294.jpg,localization_error,0.0,0.0,0.2889067672659918,
01296.jpg,background_FP,1.0,,0.0,
01314.jpg,localization_error,0.0,0.0,0.4682398286816862,
01315.jpg,localization_error,0.0,0.0,0.462946130605027,
01325.jpg,background_FP,1.0,,0.0,
01327.jpg,localization_error,0.0,0.0,0.41069270809871017,
01363.jpg,localization_error,0.0,0.0,0.47528735137563877,
01364.jpg,background_FP,1.0,,0.0,
01389.jpg,true_miss,,0.0,0.0,
01426.jpg,localization_error,0.0,0.0,0.31219771948592767,
01526.jpg,background_FP,1.0,,0.0,
01541.jpg,background_FP,1.0,,0.0,
01592.jpg,background_FP,1.0,,0.0,
01613.jpg,true_miss,,0.0,0.0,
01615.jpg,true_miss,,0.0,0.0,
01680.jpg,localization_error,0.0,0.0,0.3766430871330199,
01683.jpg,localization_error,0.0,0.0,0.46216432702162913,
01710.jpg,background_FP,1.0,,0.0,
01753.jpg,localization_error,0.0,0.0,0.34086550202074956,
01753.jpg,background_FP,1.0,,0.0,
01756.jpg,background_FP,1.0,,0.0,
01759.jpg,background_FP,1.0,,0.0,
01774.jpg,true_miss,,0.0,0.0,
01823.jpg,true_miss,,0.0,0.0,
01833.jpg,true_miss,,0.0,0.0,
01871.jpg,localization_error,0.0,0.0,0.48885666862759064,
01900.jpg,background_FP,0.0,,0.0,
01900.jpg,true_miss,,0.0,0.0,
01908.jpg,true_miss,,0.0,0.0,
01911.jpg,true_miss,,0.0,0.0,
01936.jpg,true_miss,,0.0,0.0,
01952.jpg,true_miss,,0.0,0.0,
02015.jpg,background_FP,0.0,,0.0,
02015.jpg,true_miss,,0.0,0.0,
02048.jpg,background_FP,1.0,,0.0,
02077.jpg,background_FP,1.0,,0.0,
02113.jpg,localization_error,0.0,0.0,0.25824882222305473,
02113.jpg,localization_error,1.0,0.0,0.38880902265668776,
02123.jpg,localization_error,0.0,0.0,0.47885367494550946,
02156.jpg,true_miss,,0.0,0.0,
02170.jpg,true_miss,,0.0,0.0,
