image,GT_index,width_px,height_px,area_px,area_ratio,size,aspect_ratio,position,brightness,contrast,blur_score,best_IoU
00032.jpg,0,66,28,1848,0.0020052083333333332,Medium,2.357142857142857,Center,157.83963203463205,51.01008618406064,906.071124634096,0.0
00043.jpg,0,65,34,2210,0.0023980034722222224,Medium,1.911764705882353,Center,136.35563800904978,31.983458696704524,196.6695143755451,0.0
00048.jpg,0,144,56,8064,0.00875,Medium,2.5714285714285716,Center,135.8946378968254,29.121152498401415,19.703098040059484,0.0
00055.jpg,0,48,36,1728,0.001875,Small,1.3333333333333333,Center,117.13101851851852,50.43278540202856,94.93182775848766,0.0
00071.jpg,0,143,40,5720,0.006206597222222222,Medium,3.575,Center,85.1748041958042,89.13254102776693,51.226688830945285,0.0
00088.jpg,0,63,57,3591,0.003896484375,Medium,1.105263157894737,Center,107.01357839042049,27.691424227544566,25.078752371010758,0.0
00151.jpg,0,99,55,5445,0.005908203125,Medium,1.8,Center,117.99831772268136,48.417413757132415,1027.6945550160053,0.0
00152.jpg,0,48,25,1200,0.0013020833333333333,Small,1.92,Center,89.92806666666667,39.887614939922834,1438.1934529955556,0.0
00247.jpg,0,76,27,2052,0.0022265625,Medium,2.814814814814815,Center,110.20107212475634,55.22559986041045,531.9417759705741,0.0
00264.jpg,0,102,49,4998,0.005423177083333334,Medium,2.0816326530612246,Center,130.7549019607843,40.581648895420955,1821.0021341741979,0.0
00316.jpg,0,95,49,4655,0.005050998263888889,Medium,1.9387755102040816,Center,92.05117937701397,51.024974671010625,1131.0231914677472,0.0
00317.jpg,0,329,157,51653,0.05604709201388889,Large,2.0955414012738856,Center,149.58695746527778,76.47457151327372,1135.2350981309678,0.0
00351.jpg,0,107,82,8774,0.009520399305555555,Medium,1.3048780487804879,Center,75.43212974774166,53.12965783953711,144.66899210331513,0.0
00369.jpg,0,140,46,6440,0.0069878472222222225,Medium,3.0434782608695654,Center,157.47501242236024,52.62409323955673,89.39985868751207,0.0
00494.jpg,0,30,19,570,0.0002748842592592593,Tiny,1.5789473684210527,Center,131.3659649122807,46.96719758118795,428.2624766709756,0.0
00656.jpg,0,22,11,242,0.00011670524691358024,Tiny,2.0,Center,66.9596694214876,25.325615554147998,94.05534214876035,0.0
00665.jpg,0,70,52,3640,0.0017554012345679013,Small,1.3461538461538463,Center,65.79048351648352,26.08172139171843,43.19580832797971,0.0
00714.jpg,0,22,14,308,0.00014853395061728396,Tiny,1.5714285714285714,Center,61.66428571428571,23.55899800134671,160.12470399730137,0.0
00721.jpg,0,53,20,1060,0.0005111882716049383,Small,2.65,Center,69.16618867924528,33.001191576575444,317.3707358846565,0.0
00722.jpg,0,50,22,1100,0.0005304783950617284,Small,2.272727272727273,Edge,91.92752727272727,47.33592314966588,450.20797481785127,0.0
00741.jpg,0,37,19,703,0.00033902391975308645,Tiny,1.9473684210526316,Center,58.8950213371266,52.574836353551056,157.6795002082115,0.0
00754.jpg,0,52,33,1716,0.0008275462962962963,Small,1.5757575757575757,Edge,225.77653194263362,47.33028966925903,284.5677267932938,0.0
00800.jpg,0,30,15,450,0.00021701388888888888,Tiny,2.0,Center,137.2992888888889,55.0821506029846,537.3510685155555,0.0
00829.jpg,0,116,54,6264,0.0030208333333333333,Medium,2.1481481481481484,Edge,34.35780449788466,13.31260979089361,43.73947565164499,0.0
00868.jpg,0,24,16,384,0.00018518518518518518,Tiny,1.5,Center,133.50979166666667,51.197209681029136,83.45032078993056,0.0
00920.jpg,0,45,26,1170,0.0005642361111111111,Small,1.7307692307692308,Center,39.49682051282051,11.851485830333164,60.497190352545836,0.0
00931.jpg,0,71,20,1420,0.0006847993827160494,Small,3.55,Center,111.15814084507042,40.74322900535719,267.69592731600875,0.0
00959.jpg,0,291,86,25026,0.02715494791666667,Large,3.383720930232558,Center,131.6327784503632,61.675503717486066,414.1933099388458,0.0
01115.jpg,0,94,63,5922,0.00642578125,Medium,1.492063492063492,Center,119.69097602161432,88.18615043358146,289.96450112436577,0.0
01181.jpg,0,287,126,36162,0.03923828125,Large,2.2777777777777777,Center,117.94753303726169,43.13951961674757,33.26614327300903,0.0
01197.jpg,0,207,108,22356,0.0242578125,Large,1.9166666666666667,Center,128.14779745929505,49.5751697017253,133.720988373582,0.0
01249.jpg,0,174,71,12354,0.013404947916666667,Large,2.4507042253521125,Center,93.82579245588474,58.94673830445584,271.3313659873198,0.0
01275.jpg,0,192,65,12480,0.013541666666666667,Large,2.953846153846154,Center,77.02824679487179,53.42575437899528,696.384100811596,0.0
