image,GT_index,size,GT_box
00032.jpg,0,Medium,"[576.0, 269.00028000000003, 641.99936, 297.00036]"
00043.jpg,0,Medium,"[753.00032, 294.99984, 818.0, 328.99968]"
00048.jpg,0,Medium,"[424.0, 310.99968, 568.0, 366.99984]"
00055.jpg,0,Small,"[264.99968, 412.99992, 312.99968, 448.99992000000003]"
00071.jpg,0,Medium,"[501.00032, 295.99992, 644.00064, 336.00024]"
00088.jpg,0,Medium,"[882.0, 460.99980000000005, 945.0003199999999, 518.00004]"
00127.jpg,1,Medium,"[928.9996799999999, 260.99964, 1045.99936, 335.99987999999996]"
00151.jpg,0,Medium,"[660.9996799999999, 321.00012, 760.0, 376.0002]"
00152.jpg,0,Small,"[192.00000000000003, 352.00007999999997, 240.0, 376.99992]"
00247.jpg,0,Medium,"[552.0006400000001, 240.99984, 628.00064, 267.99984]"
00264.jpg,0,Medium,"[497.00032, 206.99999999999997, 598.9996799999999, 256.00032]"
00316.jpg,0,Medium,"[595.99936, 346.99968, 690.99968, 396.00000000000006]"
00317.jpg,0,Large,"[482.0, 264.9996, 810.99968, 421.99992]"
00351.jpg,0,Medium,"[596.0000000000001, 524.9998800000001, 703.00032, 606.99996]"
00369.jpg,0,Medium,"[610.0, 233.00028, 750.0, 279.00036]"
00494.jpg,0,Tiny,"[1275.0, 470.99934, 1305.0, 489.99978]"
00597.jpg,0,Tiny,"[1102.9996800000001, 327.99978000000004, 1122.0, 337.9995]"
00656.jpg,0,Tiny,"[1153.0003199999999, 869.9999400000002, 1174.99968, 880.99974]"
00665.jpg,0,Small,"[1015.0003199999999, 795.99996, 1084.9996800000001, 847.9998]"
00714.jpg,0,Tiny,"[429.99935999999997, 885.0000600000001, 451.99872000000005, 899.0001000000001]"
00721.jpg,0,Small,"[279.00096, 428.99922, 332.00064000000003, 448.99974]"
00722.jpg,0,Small,"[146.00064, 478.00044, 196.00128, 500.00004]"
00741.jpg,0,Tiny,"[713.99904, 429.9993, 750.99936, 448.99974]"
00754.jpg,0,Small,"[919.0012800000001, 18.999360000000003, 971.0006400000001, 51.999840000000006]"
00800.jpg,0,Tiny,"[1425.0, 488.9997, 1455.0, 503.99982000000006]"
00829.jpg,0,Medium,"[150.99936000000002, 710.9996399999999, 267.0, 764.99964]"
00868.jpg,0,Tiny,"[778.99968, 583.99974, 802.9996799999999, 599.9999399999999]"
00879.jpg,0,Small,"[1336.00128, 387.00017999999994, 1406.0006400000002, 424.99998]"
00889.jpg,0,Small,"[1161.0, 272.00070000000005, 1207.99968, 308.00034]"
00920.jpg,0,Small,"[1240.99968, 833.99976, 1286.0006400000002, 859.99968]"
00921.jpg,0,Tiny,"[1309.00032, 662.00058, 1335.0009599999998, 670.0001399999999]"
00931.jpg,0,Small,"[1369.99968, 860.0002200000001, 1440.99936, 880.0007400000001]"
00959.jpg,0,Large,"[479.00032000000004, 155.00016000000002, 770.0006400000001, 240.99984]"
01092.jpg,2,Medium,"[936.0, 191.99988, 1017.99936, 269.99964]"
01115.jpg,0,Medium,"[475.00032, 353.00015999999994, 569.00096, 416.00015999999994]"
01181.jpg,0,Large,"[569.0003200000001, 199.00008, 856.00064, 325.00008]"
