image,Prediction_index,confidence,size,Prediction_box
00032.jpg,0,,Tiny,"[1039.36192, 371.31782400000003, 1061.79392, 383.425056]"
00050.jpg,1,,Medium,"[727.271296, 189.831636, 799.3335040000001, 220.58708400000003]"
00051.jpg,1,,Large,"[231.84896000000003, 317.62728000000004, 477.12256, 431.93592000000007]"
00051.jpg,2,,Large,"[665.43232, 152.7516, 875.81824, 257.61960000000005]"
00069.jpg,1,,Large,"[477.34272000000004, 636.4929599999999, 801.2953600000001, 720.0]"
00091.jpg,1,,Tiny,"[96.79200000000002, 421.641936, 125.48307199999999, 433.574064]"
00112.jpg,1,,Medium,"[643.8188799999999, 182.401236, 787.74592, 211.26164399999996]"
00112.jpg,2,,Medium,"[645.1296000000001, 181.867716, 788.69568, 223.95164399999996]"
00125.jpg,3,,Large,"[780.073536, 251.85059999999996, 901.636544, 340.9902]"
00126.jpg,2,,Medium,"[866.492736, 207.258912, 920.4051840000001, 251.080128]"
00126.jpg,4,,Large,"[865.6448, 204.06672, 1029.43872, 321.62255999999996]"
00126.jpg,5,,Medium,"[935.9969920000001, 243.93348000000003, 1039.222208, 321.40044]"
00127.jpg,2,,Medium,"[960.60704, 282.843252, 1044.6307199999999, 334.74250800000004]"
00156.jpg,1,,Small,"[434.109056, 668.4944760000001, 481.700224, 684.708084]"
00210.jpg,1,,Small,"[87.421952, 347.199048, 124.309504, 368.57599200000004]"
00227.jpg,0,,Large,"[707.23968, 89.19576000000002, 1138.05696, 554.2653600000001]"
00262.jpg,1,,Small,"[1095.566656, 432.22910399999995, 1143.993024, 454.74753599999997]"
00283.jpg,1,,Large,"[778.19456, 250.99992, 994.15744, 387.45576]"
00288.jpg,1,,Small,"[572.887488, 576.048996, 623.1240319999999, 593.245404]"
00317.jpg,0,,Large,"[623.32928, 517.65588, 813.82656, 636.2103599999999]"
00317.jpg,1,,Small,"[671.7769599999999, 0.0, 731.7481599999999, 15.400656]"
00364.jpg,1,,Large,"[681.50272, 186.37596000000002, 1119.3856, 478.8162]"
00380.jpg,1,,Medium,"[765.90432, 0.0, 964.61088, 45.510768]"
00430.jpg,1,,Tiny,"[633.23136, 825.890688, 659.1820799999999, 838.5102720000001]"
00441.jpg,1,,Small,"[886.625472, 807.524478, 960.0074879999999, 838.872882]"
00479.jpg,1,,Tiny,"[1913.0422464, 450.1100178, 1919.8806335999998, 460.1528622]"
00597.jpg,0,,Tiny,"[1095.9615360000003, 327.11088600000005, 1129.2608639999999, 343.849914]"
00597.jpg,1,,Tiny,"[1003.260768, 201.392676, 1034.0166720000002, 220.317084]"
00605.jpg,3,,Small,"[456.66801119999997, 562.8870868, 490.8566448, 580.8028672]"
00607.jpg,1,,Tiny,"[1508.8747199999998, 638.8524, 1531.0344, 651.53808]"
00714.jpg,0,,Tiny,"[785.495328, 946.1433420000001, 806.461152, 962.490978]"
00800.jpg,0,,Tiny,"[458.9208, 856.001142, 483.92207999999994, 869.899338]"
00826.jpg,1,,Tiny,"[1449.5339519999998, 896.0255639999999, 1469.687808, 903.288996]"
00879.jpg,0,,Tiny,"[1354.4812800000002, 390.435336, 1394.72832, 407.50322400000005]"
00879.jpg,1,,Tiny,"[1344.466464, 389.530836, 1396.947936, 409.237164]"
