image,GT_index,Prediction_index,IoU,confidence,size,GT_box,Prediction_box
00001.jpg,0,0,0.8993714781084396,,Medium,"[615.99936, 540.0, 683.9993600000001, 600.99984]","[613.606464, 541.24092, 680.993216, 600.60564]"
00002.jpg,0,0,0.9739784513852207,,Medium,"[512.99968, 224.00027999999998, 575.00032, 284.00003999999996]","[512.3676800000001, 224.308836, 574.51872, 284.201244]"
00003.jpg,0,0,0.8830570648034154,,Large,"[482.0, 78.00012, 770.99968, 187.00019999999998]","[494.21824000000004, 78.12216000000001, 774.4102399999999, 195.0444]"
00004.jpg,0,0,0.9341570277585186,,Medium,"[781.9999999999999, 70.0002, 896.00064, 111.99996000000002]","[780.8592, 70.74054, 894.8067200000002, 113.2929]"
00005.jpg,0,0,0.7486238512825357,,Tiny,"[666.0000000000001, 352.99980000000005, 689.00032, 371.99988]","[665.595584, 351.427104, 690.5439360000001, 374.82537599999995]"
00006.jpg,0,0,0.9580815263481475,,Large,"[480.99968, 345.00024, 732.0, 444.00023999999996]","[479.67552, 347.34852, 731.0688, 443.03724]"
00007.jpg,0,0,0.9432199486413216,,Large,"[528.99968, 316.00008, 735.0003200000001, 417.00023999999996]","[525.4060800000001, 315.1116, 729.1552, 416.60424000000006]"
00008.jpg,0,0,0.9827735635016803,,Large,"[460.00064000000003, 321.00012, 709.0003200000001, 443.99988]","[461.38688, 320.31719999999996, 709.3088, 443.3796]"
00009.jpg,0,0,0.7677053322364493,,Large,"[376.99968, 272.99988, 624.9996799999999, 460.99980000000005]","[385.61728000000005, 303.7806, 613.29216, 461.00772]"
00010.jpg,0,0,0.8559900029579556,,Large,"[224.99967999999996, 117.99972, 576.99968, 278.99964]","[214.31616000000002, 112.98348, 561.0208, 270.96083999999996]"
00011.jpg,0,0,0.9473035476152812,,Large,"[390.0, 183.99996000000004, 683.99936, 340.0002]","[389.54688000000004, 190.1952, 685.59168, 341.08848]"
00012.jpg,0,0,0.9561466833534589,,Large,"[449.00032, 186.00011999999998, 710.99968, 365.00004]","[447.7312, 190.67256000000003, 708.53632, 364.2588]"
00013.jpg,0,0,0.9202468669155139,,Large,"[426.0, 48.000239999999984, 759.9993599999999, 370.00008]","[424.91328000000004, 60.89831999999999, 747.56672, 369.63432]"
00014.jpg,0,0,0.9628815370573403,,Large,"[412.0, 228.99996, 653.99936, 360.99972]","[408.23616000000004, 227.35764, 652.19776, 361.35612000000003]"
00015.jpg,0,0,0.859203795680092,,Medium,"[537.00032, 289.00008, 594.0, 325.00008]","[535.724416, 289.65110400000003, 600.8080640000001, 324.874656]"
00016.jpg,0,0,0.9607597499717042,,Large,"[423.00032, 248.99976, 588.0, 331.99992]","[421.26592000000005, 247.80204, 589.9775999999999, 331.70723999999996]"
00017.jpg,0,0,0.9669408903771737,,Large,"[300.00064000000003, 182.00016, 509.00032000000004, 330.99984]","[299.64799999999997, 181.18116000000003, 504.67072, 331.86348]"
00018.jpg,0,0,0.8967681373989624,,Small,"[466.99904, 232.99991999999997, 520.99968, 266.99976]","[464.7728, 231.963948, 520.13088, 266.204052]"
00019.jpg,0,0,0.9551683906323614,,Large,"[418.00064, 83.99987999999999, 548.0, 179.99964]","[416.54592, 85.59072, 549.13728, 179.06688]"
00020.jpg,0,0,0.9292044496547632,,Medium,"[683.00032, 252.99972, 776.0000000000001, 325.99980000000005]","[686.424064, 253.551924, 774.6549759999999, 325.050156]"
00021.jpg,0,0,0.860117555443215,,Small,"[594.0, 405.0, 625.00032, 438.99984000000006]","[592.91872, 405.514188, 624.63776, 436.03045199999997]"
