image,GT,Predictions,TP,FP,FN,total_errors
01206.jpg,1,2,0,2,1,3
00597.jpg,1,2,0,2,1,3
00126.jpg,3,6,3,3,0,3
00317.jpg,1,2,0,2,1,3
00879.jpg,1,2,0,2,1,3
01753.jpg,1,2,0,2,1,3
02113.jpg,1,2,0,2,1,3
00714.jpg,1,1,0,1,1,2
00127.jpg,3,3,2,1,1,2
00889.jpg,1,1,0,1,1,2
00921.jpg,1,1,0,1,1,2
00051.jpg,1,3,1,2,0,2
00800.jpg,1,1,0,1,1,2
01092.jpg,3,3,2,1,1,2
01115.jpg,1,1,0,1,1,2
01187.jpg,1,1,0,1,1,2
01197.jpg,1,1,0,1,1,2
01219.jpg,1,1,0,1,1,2
01226.jpg,1,1,0,1,1,2
01294.jpg,1,1,0,1,1,2
01314.jpg,1,1,0,1,1,2
01315.jpg,1,1,0,1,1,2
01327.jpg,1,1,0,1,1,2
01363.jpg,1,1,0,1,1,2
01426.jpg,1,1,0,1,1,2
01680.jpg,1,1,0,1,1,2
01683.jpg,1,1,0,1,1,2
00032.jpg,1,1,0,1,1,2
01871.jpg,1,1,0,1,1,2
01900.jpg,1,1,0,1,1,2
02015.jpg,1,1,0,1,1,2
00112.jpg,1,3,1,2,0,2
02123.jpg,1,1,0,1,1,2
00283.jpg,1,2,1,1,0,1
00091.jpg,1,2,1,1,0,1
00430.jpg,1,2,1,1,0,1
00494.jpg,1,0,0,0,1,1
00920.jpg,1,0,0,0,1,1
00364.jpg,1,2,1,1,0,1
00288.jpg,1,2,1,1,0,1
00151.jpg,1,0,0,0,1,1
00152.jpg,1,0,0,0,1,1
00665.jpg,1,0,0,0,1,1
00247.jpg,1,0,0,0,1,1
00156.jpg,1,2,1,1,0,1
01085.jpg,3,4,3,1,0,1
00369.jpg,1,0,0,0,1,1
01079.jpg,1,2,1,1,0,1
00868.jpg,1,0,0,0,1,1
00741.jpg,1,0,0,0,1,1
00048.jpg,1,0,0,0,1,1
00050.jpg,1,2,1,1,0,1
00441.jpg,1,2,1,1,0,1
00210.jpg,1,2,1,1,0,1
00055.jpg,1,0,0,0,1,1
01067.jpg,1,2,1,1,0,1
00043.jpg,1,0,0,0,1,1
00722.jpg,1,0,0,0,1,1
00479.jpg,1,2,1,1,0,1
01097.jpg,1,2,1,1,0,1
00380.jpg,1,2,1,1,0,1
00262.jpg,1,2,1,1,0,1
00985.jpg,1,2,1,1,0,1
00264.jpg,1,0,0,0,1,1
01106.jpg,1,2,1,1,0,1
00959.jpg,1,0,0,0,1,1
01167.jpg,1,2,1,1,0,1
01181.jpg,1,0,0,0,1,1
00125.jpg,3,4,3,1,0,1
00069.jpg,1,2,1,1,0,1
00721.jpg,1,0,0,0,1,1
00071.jpg,1,0,0,0,1,1
01220.jpg,1,2,1,1,0,1
02170.jpg,1,0,0,0,1,1
01239.jpg,1,2,1,1,0,1
01249.jpg,1,0,0,0,1,1
01274.jpg,1,2,1,1,0,1
01275.jpg,1,0,0,0,1,1
00969.jpg,1,2,1,1,0,1
01296.jpg,1,2,1,1,0,1
00826.jpg,1,2,1,1,0,1
00351.jpg,1,0,0,0,1,1
01325.jpg,1,2,1,1,0,1
00227.jpg,1,2,1,1,0,1
00656.jpg,1,0,0,0,1,1
01364.jpg,1,2,1,1,0,1
01389.jpg,1,0,0,0,1,1
01034.jpg,1,2,1,1,0,1
01526.jpg,1,2,1,1,0,1
01541.jpg,1,2,1,1,0,1
01592.jpg,1,2,1,1,0,1
01613.jpg,1,0,0,0,1,1
01615.jpg,1,0,0,0,1,1
00931.jpg,1,0,0,0,1,1
00316.jpg,1,0,0,0,1,1
01710.jpg,1,2,1,1,0,1
00605.jpg,3,4,3,1,0,1
01756.jpg,1,2,1,1,0,1
01759.jpg,1,2,1,1,0,1
01774.jpg,1,0,0,0,1,1
01823.jpg,1,0,0,0,1,1
01833.jpg,1,0,0,0,1,1
00829.jpg,1,0,0,0,1,1
00607.jpg,1,2,1,1,0,1
01908.jpg,1,0,0,0,1,1
01911.jpg,1,0,0,0,1,1
01936.jpg,1,0,0,0,1,1
01952.jpg,1,0,0,0,1,1
00754.jpg,1,0,0,0,1,1
02048.jpg,1,2,1,1,0,1
02077.jpg,1,2,1,1,0,1
01022.jpg,1,2,1,1,0,1
00088.jpg,1,0,0,0,1,1
02156.jpg,1,0,0,0,1,1
00058.jpg,1,1,1,0,0,0
00059.jpg,1,1,1,0,0,0
