current_split,current_file,match_status,original_video,original_frame,original_path
train,00001.jpg,NO_EXACT_MATCH,,,
train,00002.jpg,NO_EXACT_MATCH,,,
train,00003.jpg,NO_EXACT_MATCH,,,
train,00004.jpg,NO_EXACT_MATCH,,,
train,00005.jpg,NO_EXACT_MATCH,,,
train,00006.jpg,NO_EXACT_MATCH,,,
train,00007.jpg,NO_EXACT_MATCH,,,
train,00008.jpg,NO_EXACT_MATCH,,,
train,00009.jpg,NO_EXACT_MATCH,,,
train,00010.jpg,NO_EXACT_MATCH,,,
train,00011.jpg,NO_EXACT_MATCH,,,
train,00012.jpg,NO_EXACT_MATCH,,,
train,00013.jpg,NO_EXACT_MATCH,,,
train,00014.jpg,NO_EXACT_MATCH,,,
train,00015.jpg,NO_EXACT_MATCH,,,
train,00016.jpg,NO_EXACT_MATCH,,,
train,00017.jpg,NO_EXACT_MATCH,,,
train,00018.jpg,NO_EXACT_MATCH,,,
train,00019.jpg,NO_EXACT_MATCH,,,
train,00020.jpg,NO_EXACT_MATCH,,,
train,00021.jpg,NO_EXACT_MATCH,,,
train,00022.jpg,NO_EXACT_MATCH,,,
train,00023.jpg,NO_EXACT_MATCH,,,
train,00024.jpg,NO_EXACT_MATCH,,,
train,00025.jpg,NO_EXACT_MATCH,,,
train,00026.jpg,NO_EXACT_MATCH,,,
train,00027.jpg,NO_EXACT_MATCH,,,
train,00028.jpg,NO_EXACT_MATCH,,,
train,00029.jpg,NO_EXACT_MATCH,,,
train,00030.jpg,NO_EXACT_MATCH,,,
train,00031.jpg,NO_EXACT_MATCH,,,
train,00032.jpg,NO_EXACT_MATCH,,,
train,00033.jpg,NO_EXACT_MATCH,,,
train,00034.jpg,NO_EXACT_MATCH,,,
train,00035.jpg,NO_EXACT_MATCH,,,
train,00036.jpg,NO_EXACT_MATCH,,,
train,00037.jpg,NO_EXACT_MATCH,,,
train,00038.jpg,NO_EXACT_MATCH,,,
train,00039.jpg,NO_EXACT_MATCH,,,
train,00040.jpg,NO_EXACT_MATCH,,,
train,00041.jpg,NO_EXACT_MATCH,,,
train,00042.jpg,NO_EXACT_MATCH,,,
train,00043.jpg,NO_EXACT_MATCH,,,
train,00044.jpg,NO_EXACT_MATCH,,,
train,00045.jpg,NO_EXACT_MATCH,,,
train,00046.jpg,NO_EXACT_MATCH,,,
train,00047.jpg,NO_EXACT_MATCH,,,
train,00048.jpg,NO_EXACT_MATCH,,,
train,00049.jpg,NO_EXACT_MATCH,,,
train,00050.jpg,NO_EXACT_MATCH,,,
train,00051.jpg,NO_EXACT_MATCH,,,
train,00052.jpg,NO_EXACT_MATCH,,,
train,00053.jpg,NO_EXACT_MATCH,,,
train,00054.jpg,NO_EXACT_MATCH,,,
train,00055.jpg,NO_EXACT_MATCH,,,
train,00056.jpg,NO_EXACT_MATCH,,,
train,00057.jpg,NO_EXACT_MATCH,,,
train,00058.jpg,NO_EXACT_MATCH,,,
