split_A,image_A,split_B,image_B,hamming_distance
train,00209.jpg,val,00105.jpg,0
train,00276.jpg,test,00167.jpg,0
train,00276.jpg,test,01142.jpg,0
train,00280.jpg,test,00193.jpg,0
train,00328.jpg,test,00980.jpg,0
train,00332.jpg,test,00985.jpg,0
train,00375.jpg,test,01021.jpg,0
train,00480.jpg,test,00137.jpg,0
train,00489.jpg,test,00144.jpg,0
train,00490.jpg,test,01115.jpg,0
train,00492.jpg,val,00245.jpg,0
train,00492.jpg,val,00247.jpg,0
train,00492.jpg,test,00147.jpg,0
train,00492.jpg,test,00148.jpg,0
train,00492.jpg,test,01116.jpg,0
train,00492.jpg,test,01118.jpg,0
train,00493.jpg,val,00245.jpg,0
train,00493.jpg,val,00247.jpg,0
train,00493.jpg,test,00147.jpg,0
train,00493.jpg,test,00148.jpg,0
train,00493.jpg,test,01116.jpg,0
train,00493.jpg,test,01118.jpg,0
train,00502.jpg,test,00155.jpg,0
train,00517.jpg,test,00166.jpg,0
train,00517.jpg,test,01141.jpg,0
train,00518.jpg,test,00167.jpg,0
train,00518.jpg,test,01142.jpg,0
train,00546.jpg,test,00189.jpg,0
train,00546.jpg,test,01169.jpg,0
train,00566.jpg,val,00284.jpg,0
train,00566.jpg,test,01190.jpg,0
train,00566.jpg,test,01192.jpg,0
train,00567.jpg,test,01191.jpg,0
train,00568.jpg,test,01191.jpg,0
train,00581.jpg,test,01204.jpg,0
train,00581.jpg,test,01206.jpg,0
train,00583.jpg,test,01204.jpg,0
train,00583.jpg,test,01206.jpg,0
train,00584.jpg,test,01207.jpg,0
train,00605.jpg,test,01227.jpg,0
train,00614.jpg,test,00238.jpg,0
train,00722.jpg,test,00216.jpg,0
train,00755.jpg,test,01204.jpg,0
train,00755.jpg,test,01206.jpg,0
train,00812.jpg,val,00407.jpg,0
train,00815.jpg,val,00408.jpg,0
train,00816.jpg,val,00409.jpg,0
train,00833.jpg,val,00417.jpg,0
train,00847.jpg,val,00424.jpg,0
train,00847.jpg,test,01445.jpg,0
train,00848.jpg,val,00424.jpg,0
train,00848.jpg,test,01445.jpg,0
train,00856.jpg,test,00381.jpg,0
train,00856.jpg,test,01449.jpg,0
train,00857.jpg,test,00381.jpg,0
train,00857.jpg,test,01449.jpg,0
train,00858.jpg,test,00382.jpg,0
train,00858.jpg,test,01450.jpg,0
train,00861.jpg,val,00432.jpg,0
train,00861.jpg,test,00383.jpg,0
train,00861.jpg,test,00384.jpg,0
train,00861.jpg,test,01451.jpg,0
train,00861.jpg,test,01452.jpg,0
train,00864.jpg,val,00432.jpg,0
train,00864.jpg,test,00383.jpg,0
train,00864.jpg,test,00384.jpg,0
train,00864.jpg,test,01451.jpg,0
train,00864.jpg,test,01452.jpg,0
train,00870.jpg,val,00436.jpg,0
train,00870.jpg,test,01456.jpg,0
train,00870.jpg,test,01457.jpg,0
train,00871.jpg,val,00436.jpg,0
train,00871.jpg,test,01456.jpg,0
train,00871.jpg,test,01457.jpg,0
train,00877.jpg,test,00385.jpg,0
train,00877.jpg,test,01461.jpg,0
train,00880.jpg,test,01460.jpg,0
train,00883.jpg,val,00438.jpg,0
train,00885.jpg,test,00387.jpg,0
train,00885.jpg,test,01463.jpg,0
train,00886.jpg,test,00387.jpg,0
train,00886.jpg,test,01463.jpg,0
train,00887.jpg,test,00387.jpg,0
train,00887.jpg,test,01463.jpg,0
train,00888.jpg,test,00387.jpg,0
train,00888.jpg,test,01463.jpg,0
train,00893.jpg,test,01465.jpg,0
train,00897.jpg,val,00448.jpg,0
train,00898.jpg,val,00450.jpg,0
train,00904.jpg,test,01470.jpg,0
train,00909.jpg,val,00455.jpg,0
train,00913.jpg,val,00457.jpg,0
train,00913.jpg,val,00458.jpg,0
train,00913.jpg,test,00390.jpg,0
train,00913.jpg,test,00391.jpg,0
train,00913.jpg,test,01474.jpg,0
train,00913.jpg,test,01475.jpg,0
train,00915.jpg,val,00457.jpg,0
train,00915.jpg,val,00458.jpg,0
train,00915.jpg,test,00390.jpg,0
