split,current_file,rank1_video,rank1_frame,rank1_distance,rank2_video,rank2_frame,rank2_distance,rank3_video,rank3_frame,rank3_distance
train,00001.jpg,video04,00099.jpg,83,video04,00097.jpg,84,video04,00131.jpg,84
train,00180.jpg,video07,01698.jpg,99,video07,01926.jpg,100,video07,01076.jpg,101
train,00360.jpg,video08,01090.jpg,97,video08,01089.jpg,98,video07,01139.jpg,99
train,00539.jpg,video08,01092.jpg,99,video08,01145.jpg,100,video01,00368.jpg,101
train,00718.jpg,video01,00996.jpg,90,video01,00994.jpg,92,video01,00995.jpg,93
train,00898.jpg,video12,01427.jpg,5,video12,01428.jpg,5,video12,01466.jpg,5
train,01077.jpg,video07,00025.jpg,97,video07,00216.jpg,97,video07,00368.jpg,97
train,01256.jpg,video07,02341.jpg,89,video07,02340.jpg,91,video07,01518.jpg,95
train,01435.jpg,video05,00425.jpg,95,video05,00420.jpg,97,video01,01050.jpg,97
train,01615.jpg,video08,01123.jpg,88,video08,01124.jpg,90,video07,00780.jpg,98
train,01794.jpg,video01,00494.jpg,90,video07,00231.jpg,94,video10,01959.jpg,95
train,01973.jpg,video02,00012.jpg,93,video09,00076.jpg,94,video09,00264.jpg,94
train,02152.jpg,video08,01108.jpg,96,video08,01088.jpg,99,video08,00304.jpg,100
train,02332.jpg,video08,00617.jpg,91,video01,00271.jpg,91,video08,00165.jpg,94
train,02511.jpg,video08,01110.jpg,74,video08,01109.jpg,79,video08,01111.jpg,79
train,02690.jpg,video01,00523.jpg,102,video01,00778.jpg,103,video01,00795.jpg,103
train,02869.jpg,video02,00015.jpg,96,video02,00016.jpg,97,video02,00017.jpg,97
train,03049.jpg,video07,00612.jpg,97,video07,01562.jpg,97,video07,01564.jpg,98
train,03228.jpg,video01,00131.jpg,96,video01,00055.jpg,100,video06,00191.jpg,100
train,03407.jpg,video07,00151.jpg,101,video07,00291.jpg,103,video08,00691.jpg,103
train,03586.jpg,video07,00164.jpg,83,video07,00163.jpg,90,video07,01403.jpg,92
train,03766.jpg,video01,00106.jpg,101,video07,01172.jpg,104,video01,00107.jpg,105
train,03945.jpg,video19,01286.jpg,3,video19,01117.jpg,4,video19,01289.jpg,4
train,04124.jpg,video08,02077.jpg,99,video08,02078.jpg,99,video08,02024.jpg,99
train,04303.jpg,video01,00362.jpg,93,video07,02209.jpg,98,video01,01035.jpg,99
train,04483.jpg,video08,00162.jpg,84,video08,00164.jpg,90,video08,00161.jpg,95
train,04662.jpg,video07,01759.jpg,100,video08,01225.jpg,101,video07,01171.jpg,101
train,04841.jpg,video02,00032.jpg,98,video02,00029.jpg,99,video02,00028.jpg,99
train,05020.jpg,video01,00475.jpg,99,video01,00476.jpg,100,video07,00502.jpg,100
train,05200.jpg,video08,00262.jpg,95,video08,00268.jpg,98,video08,00265.jpg,99
val,00001.jpg,video03,00007.jpg,92,video07,01201.jpg,92,video07,01204.jpg,97
val,00090.jpg,video08,01011.jpg,99,video08,00835.jpg,101,video08,00832.jpg,101
val,00180.jpg,video07,00665.jpg,100,video01,00272.jpg,101,video08,01442.jpg,101
val,00269.jpg,video03,00013.jpg,96,video07,00651.jpg,96,video03,00012.jpg,97
val,00359.jpg,video08,01921.jpg,86,video08,01920.jpg,90,video08,01922.jpg,91
val,00449.jpg,video12,01449.jpg,3,video12,01447.jpg,3,video12,01451.jpg,3
val,00538.jpg,video04,00166.jpg,90,video04,00168.jpg,91,video04,00177.jpg,92
val,00628.jpg,video04,00194.jpg,93,video07,00868.jpg,94,video08,01185.jpg,95
val,00717.jpg,video05,00425.jpg,93,video05,00420.jpg,95,video05,00426.jpg,96
val,00807.jpg,video08,01123.jpg,94,video08,01124.jpg,96,video08,01606.jpg,96
val,00897.jpg,video07,01202.jpg,97,video14,00080.jpg,97,video14,00078.jpg,97
val,00986.jpg,video02,00029.jpg,95,video02,00027.jpg,95,video02,00012.jpg,95
val,01076.jpg,video08,01108.jpg,92,video08,00306.jpg,98,video05,00338.jpg,100
