split,current_file,best_video,best_frame,best_distance,second_video,second_distance,margin
train,00001.jpg,video04,00099.jpg,83,video02,104,21
train,00018.jpg,video01,00409.jpg,101,video07,105,4
train,00035.jpg,video08,02196.jpg,103,video07,105,2
train,00053.jpg,video04,00160.jpg,88,video07,102,14
train,00070.jpg,video04,00188.jpg,101,video07,102,1
train,00087.jpg,video01,00437.jpg,94,video04,97,3
train,00105.jpg,video07,01531.jpg,99,video04,102,3
train,00122.jpg,video08,01902.jpg,82,video04,83,1
train,00140.jpg,video07,00899.jpg,99,video04,101,2
train,00157.jpg,video08,01176.jpg,97,video12,101,4
train,00174.jpg,video01,00226.jpg,96,video07,98,2
train,00192.jpg,video01,00345.jpg,96,video05,103,7
train,00209.jpg,video01,00289.jpg,92,video06,96,4
train,00226.jpg,video07,01747.jpg,103,video01,105,2
train,00244.jpg,video04,00201.jpg,83,video03,90,7
train,00262.jpg,video04,00124.jpg,100,video01,104,4
train,00280.jpg,video01,00085.jpg,97,video05,102,5
train,00297.jpg,video04,00160.jpg,101,video08,102,1
train,00314.jpg,video07,00832.jpg,97,video04,104,7
train,00332.jpg,video04,00309.jpg,80,video05,101,21
train,00349.jpg,video07,00999.jpg,100,video08,100,0
train,00367.jpg,video01,00247.jpg,95,video07,95,0
train,00384.jpg,video08,00944.jpg,100,video06,103,3
train,00401.jpg,video08,02305.jpg,95,video04,102,7
train,00419.jpg,video06,00173.jpg,105,video07,105,0
train,00436.jpg,video04,00220.jpg,81,video08,85,4
train,00453.jpg,video06,00107.jpg,103,video04,105,2
train,00471.jpg,video04,00046.jpg,99,video06,102,3
train,00488.jpg,video12,00419.jpg,95,video05,100,5
train,00506.jpg,video04,00174.jpg,104,video05,105,1
train,00523.jpg,video04,00042.jpg,105,video05,107,2
train,00540.jpg,video08,01145.jpg,98,video01,106,8
train,00558.jpg,video01,00888.jpg,104,video04,106,2
train,00575.jpg,video08,01732.jpg,88,video04,107,19
train,00593.jpg,video04,00258.jpg,77,video03,86,9
train,00610.jpg,video01,00289.jpg,99,video03,102,3
train,00627.jpg,video07,02463.jpg,100,video04,108,8
train,00645.jpg,video03,00035.jpg,98,video02,101,3
train,00662.jpg,video01,01021.jpg,99,video04,100,1
train,00680.jpg,video05,00239.jpg,93,video02,103,10
train,00697.jpg,video03,00014.jpg,90,video01,100,10
train,00714.jpg,video08,00186.jpg,99,video07,101,2
train,00732.jpg,video07,02097.jpg,97,video05,99,2
train,00749.jpg,video08,00743.jpg,101,video17,105,4
train,00766.jpg,video07,02280.jpg,103,video06,105,2
train,00784.jpg,video01,00423.jpg,100,video07,107,7
train,00801.jpg,video08,01160.jpg,95,video07,98,3
train,00819.jpg,video01,00317.jpg,102,video04,102,0
train,00836.jpg,video08,02042.jpg,99,video07,102,3
train,00853.jpg,video07,01747.jpg,104,video08,105,1
train,00871.jpg,video11,00651.jpg,2,video06,105,103
train,00888.jpg,video12,00309.jpg,0,video05,97,97
train,00905.jpg,video12,01435.jpg,8,video07,100,92
train,00923.jpg,video03,00023.jpg,99,video07,100,1
train,00940.jpg,video06,00114.jpg,103,video08,104,1
train,00958.jpg,video13,01516.jpg,11,video08,104,93
train,00975.jpg,video13,01696.jpg,10,video08,101,91
train,00992.jpg,video07,00500.jpg,103,video01,105,2
train,01010.jpg,video01,00127.jpg,104,video04,107,3
train,01027.jpg,video08,01469.jpg,103,video07,104,1
train,01045.jpg,video04,00167.jpg,84,video07,101,17
train,01062.jpg,video08,00975.jpg,95,video04,96,1
train,01079.jpg,video07,00267.jpg,100,video14,100,0
train,01097.jpg,video08,01609.jpg,104,video04,105,1
train,01114.jpg,video06,00086.jpg,100,video08,101,1
train,01132.jpg,video17,00361.jpg,99,video08,105,6
train,01149.jpg,video08,00557.jpg,104,video02,106,2
train,01166.jpg,video03,00061.jpg,102,video02,103,1
train,01184.jpg,video08,00418.jpg,96,video17,99,3
train,01201.jpg,video05,00079.jpg,102,video01,104,2
train,01218.jpg,video01,00472.jpg,97,video05,102,5
train,01236.jpg,video08,02150.jpg,94,video05,102,8
train,01253.jpg,video08,00124.jpg,103,video04,106,3
train,01271.jpg,video06,00134.jpg,103,video07,104,1
train,01288.jpg,video08,00248.jpg,93,video01,98,5
train,01305.jpg,video01,00360.jpg,104,video06,105,1
train,01323.jpg,video08,01191.jpg,100,video07,102,2
train,01340.jpg,video01,00423.jpg,94,video11,105,11
train,01358.jpg,video01,00479.jpg,99,video06,105,6
train,01375.jpg,video08,00836.jpg,94,video18,96,2
train,01392.jpg,video04,00110.jpg,94,video08,95,1
train,01410.jpg,video07,01481.jpg,102,video08,102,0
train,01427.jpg,video01,01050.jpg,95,video05,95,0
train,01444.jpg,video05,00425.jpg,93,video01,99,6
train,01462.jpg,video08,01531.jpg,105,video16,106,1
train,01479.jpg,video08,01531.jpg,103,video16,106,3
train,01497.jpg,video08,01531.jpg,101,video16,102,1
train,01514.jpg,video07,00100.jpg,96,video01,100,4
train,01531.jpg,video07,01448.jpg,95,video08,100,5
train,01549.jpg,video08,00480.jpg,106,video17,106,0
train,01566.jpg,video01,00550.jpg,95,video08,102,7
train,01583.jpg,video08,01067.jpg,101,video07,104,3
train,01601.jpg,video07,00766.jpg,100,video01,105,5
train,01618.jpg,video08,01872.jpg,99,video20,99,0
train,01636.jpg,video08,01500.jpg,107,video10,108,1
train,01653.jpg,video08,01500.jpg,105,video01,107,2
train,01670.jpg,video05,00049.jpg,100,video07,105,5
train,01688.jpg,video05,00299.jpg,98,video07,102,4
train,01705.jpg,video08,02088.jpg,96,video01,100,4
train,01723.jpg,video12,01245.jpg,99,video07,101,2
train,01740.jpg,video01,00381.jpg,99,video08,109,10
train,01757.jpg,video01,00310.jpg,100,video08,102,2
