split_A,image_A,split_B,image_B,SSIM
train,01025.jpg,test,01502.jpg,0.9943727893253449
train,00966.jpg,test,00393.jpg,0.9942887198847463
train,00966.jpg,test,01488.jpg,0.9942887198847463
train,00946.jpg,test,01486.jpg,0.9934045962810929
train,00946.jpg,test,00392.jpg,0.9934045962810929
train,01230.jpg,test,01539.jpg,0.9933959963225881
train,01230.jpg,test,00440.jpg,0.9933959963225881
train,05190.jpg,test,00955.jpg,0.9933829162883947
train,05191.jpg,test,00955.jpg,0.9933562518514413
train,00945.jpg,test,01486.jpg,0.9933471592821672
train,00945.jpg,test,00392.jpg,0.9933471592821672
train,01203.jpg,test,01534.jpg,0.9931595697226091
train,01203.jpg,test,00436.jpg,0.9931595697226091
train,01226.jpg,test,00438.jpg,0.9931340576759488
train,01226.jpg,test,01537.jpg,0.9931340576759488
train,00913.jpg,test,01474.jpg,0.993048112129063
train,00913.jpg,test,00390.jpg,0.993048112129063
train,00969.jpg,test,00395.jpg,0.9930203212293978
train,00969.jpg,test,01490.jpg,0.9930203212293978
train,00965.jpg,test,01488.jpg,0.9929568574444384
train,00965.jpg,test,00393.jpg,0.9929568574444384
train,00546.jpg,test,01169.jpg,0.9929358122491416
train,01026.jpg,test,01502.jpg,0.992921477898993
train,00915.jpg,test,00391.jpg,0.9929101026206024
train,00915.jpg,test,01475.jpg,0.9929101026206024
train,05192.jpg,test,00955.jpg,0.992897436782384
train,00918.jpg,test,01476.jpg,0.9928902550584393
train,01023.jpg,test,00403.jpg,0.9928584925928661
train,01023.jpg,test,01501.jpg,0.9928584925928661
train,05189.jpg,test,00955.jpg,0.9927678479998705
train,00973.jpg,test,00396.jpg,0.992760393250041
train,00973.jpg,test,01491.jpg,0.992760393250041
train,00929.jpg,test,01480.jpg,0.9924614661455364
train,05183.jpg,test,02198.jpg,0.9923938664528922
train,00916.jpg,test,01475.jpg,0.9922570203139276
train,00916.jpg,test,00391.jpg,0.9922570203139276
train,01024.jpg,test,01501.jpg,0.9922210145242052
train,01024.jpg,test,00403.jpg,0.9922210145242052
train,00968.jpg,test,00394.jpg,0.9922013684736297
train,00968.jpg,test,01489.jpg,0.9922013684736297
train,01206.jpg,test,01535.jpg,0.9921876606682742
train,01028.jpg,test,01502.jpg,0.9921711062646111
train,00932.jpg,test,01481.jpg,0.9920040109060679
train,01229.jpg,test,00439.jpg,0.991997548049852
train,01229.jpg,test,01538.jpg,0.991997548049852
train,05023.jpg,test,00937.jpg,0.9919489887167856
train,05023.jpg,test,02177.jpg,0.9919489887167856
train,05186.jpg,test,02200.jpg,0.9919228548668388
train,05186.jpg,test,00954.jpg,0.9919228548668388
train,01022.jpg,test,01500.jpg,0.9919079702016583
train,00990.jpg,test,01493.jpg,0.9916902934997605
train,00990.jpg,test,00397.jpg,0.9916902934997605
train,00971.jpg,test,01490.jpg,0.9916542997387803
train,00971.jpg,test,00395.jpg,0.9916542997387803
train,00931.jpg,test,01481.jpg,0.9916048273705977
train,04987.jpg,test,02169.jpg,0.9916030812482353
train,01019.jpg,test,00402.jpg,0.9915593084526243
train,01019.jpg,test,01499.jpg,0.9915593084526243
train,04990.jpg,test,00931.jpg,0.991507871447664
train,04990.jpg,test,02170.jpg,0.991507871447664
train,01414.jpg,test,01573.jpg,0.9914856282488814
train,01414.jpg,test,00465.jpg,0.9914856282488814
train,04988.jpg,test,02169.jpg,0.9914594698517462
train,01204.jpg,test,00436.jpg,0.9914239166992884
train,01204.jpg,test,01534.jpg,0.9914239166992884
train,00947.jpg,test,01487.jpg,0.991309502522143
train,05027.jpg,test,02177.jpg,0.9912553145511943
train,05027.jpg,test,00937.jpg,0.9912553145511943
train,05187.jpg,test,00953.jpg,0.9911513300160179
